,annual_temp,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time
Ameivula_ocellifera,25.50766691,Oviparous,Ameivula_ocellifera,Ameivula,Teiidae,62.5,27.5,-4.747,3.11,189.628,80.778,5,1,3.4,1.6,-51.28,-14.54,Diurnal
Amphibolurus_muricatus,16.37533323,Oviparous,Amphibolurus_muricatus,Amphibolurus,Agamidae,90.7,31.2,-4.686,3.105,276.9375,92.19,12,3,6,5.1,149.04,-31.67,Diurnal
Amphisbaena_alba,24.49233373,Oviparous,Amphisbaena_alba,Amphisbaena,Amphisbaenidae,534.3,160,-8.647,4.007,2132.2931,632.473,16,6,12,6.5,-57.41,-12.29,Cathemeral
Anadia_brevifrontalis,20.35499986,Oviparous,Anadia_brevifrontalis,Anadia,Gymnophthalmidae,68.1,30.5,-4.207,2.3,152.423,65.943,2,2,2,2,-70.74,8.59,Diurnal
Anepischetosia_maccoyi,8.941333314,Oviparous,Anepischetosia_maccoyi,Anepischetosia,Scincidae,51,23.4,-5.125,3.229,159.554,70.4336,9,1,3.6,2.3,146.46,-37.33,Cathemeral
Anguis_colchica,6.024666826,Viviparous,Anguis_colchica,Anguis,Anguidae,192.8,44,-5.765,3.48,665.179,147.355,26,5,12,8,38.36,53.01,Diurnal
Anguis_fragilis,9.293000147,Viviparous,Anguis_fragilis,Anguis,Anguidae,176.5,47,-5.765,3.48,608.455,157.795,28,2,12.3,6.7,8.1,50.08,Diurnal
Anniella_geronimensis,16.85366686,Viviparous,Anniella_geronimensis,Anniella,Anniellidae,115.3,36,-4.207,2.3,260.983,78.593,1,1,1,1,-115.55,30.56,Diurnal
Anniella_pulchra,13.84566669,Viviparous,Anniella_pulchra,Anniella,Anniellidae,143.8,56,-4.207,2.3,326.533,124.593,4,1,2,1.3,-118.72,34.71,Cathemeral
Anolis_acutus,26.5250001,Oviparous,Anolis_acutus,Anolis,Dactyloidae,43.1,20.5,-4.574,2.942,122.2262,55.737,1,1,1,1,-64.77,17.74,Diurnal
Anolis_aeneus,26.37033367,Oviparous,Anolis_aeneus,Anolis,Dactyloidae,46.5,22.5,-4.574,2.942,132.229,61.621,1,1,1,1,-58.9,6.51,Diurnal
Anolis_alutaceus,25.96799978,Oviparous,Anolis_alutaceus,Anolis,Dactyloidae,33.6,15,-4.574,2.942,94.2772,39.556,1,1,1,1,-79.25,21.65,Diurnal
Anolis_angusticeps,25.50133355,Oviparous,Anolis_angusticeps,Anolis,Dactyloidae,38,15.5,-4.574,2.942,107.222,41.027,1,1,1,1,-78.91,21.83,Diurnal
Anolis_aquaticus,26.40133317,Oviparous,Anolis_aquaticus,Anolis,Dactyloidae,59.1,24.5,-4.574,2.942,169.2982,67.505,2,1,1.3,1,-83.41,8.9,Diurnal
Anolis_argenteolus,25.92933353,Oviparous,Anolis_argenteolus,Anolis,Dactyloidae,46.6,20.1,-4.574,2.942,132.5232,54.5602,2,1,1.1,1,-76.12,20.46,Diurnal
Anolis_auratus,22.74566682,Oviparous,Anolis_auratus,Anolis,Dactyloidae,47.7,19.7,-4.574,2.942,135.7594,53.3834,2,1,1,1,-65.36,3.89,Diurnal
Anolis_bahorucoensis,17.74700006,Oviparous,Anolis_bahorucoensis,Anolis,Dactyloidae,37.3,18.5,-4.574,2.942,105.1626,49.853,2,1,1.1,1,-71.59,18.16,Diurnal
Anolis_baleatus,24.80033318,Oviparous,Anolis_baleatus,Anolis,Dactyloidae,139.5,41,-4.574,2.942,405.835,116.048,1,1,1,1,-69.87,18.89,Diurnal
Anolis_barbatus,25.44479148,Oviparous,Anolis_barbatus,Anolis,Dactyloidae,122.7,47.5,-4.574,2.942,356.4094,135.171,1,1,1,1,-82,22.44,Diurnal
Anolis_barbouri,27.64500014,Oviparous,Anolis_barbouri,Anolis,Dactyloidae,45.5,17,-4.574,2.942,129.287,45.44,2,1,1,1,-71.61,18.44,Diurnal
Anolis_barkeri,25.59866635,Oviparous,Anolis_barkeri,Anolis,Dactyloidae,68.5,34,-4.574,2.942,196.953,95.454,2,1,2,1,-94.42,17.53,Diurnal
Anolis_brasiliensis,25.91266664,Oviparous,Anolis_brasiliensis,Anolis,Dactyloidae,63.1,26,-4.574,2.942,181.0662,71.918,1,1,1,1,-49.46,-11.33,Diurnal
Anolis_capito,24.58933353,Oviparous,Anolis_capito,Anolis,Dactyloidae,85,27,-4.574,2.942,245.496,74.86,1,1,1,1,-85.96,13.51,Diurnal
