,annual_temp,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time
Aspidoscelis_parvisocius,17.83366656,Oviparous,Aspidoscelis_parvisocius,Aspidoscelis,Teiidae,58.9,29,-4.747,3.11,178.432,85.443,4,1,1.8,1.8,-97.4,18.19,Diurnal
Aspidoscelis_scalaris,20.47066673,Oviparous,Aspidoscelis_scalaris,Aspidoscelis,Teiidae,78.5,32.5,-4.747,3.11,239.388,96.328,5,1,3.3,3.3,-102.91,25.14,Diurnal
Aspidoscelis_sexlineatus,15.81933333,Oviparous,Aspidoscelis_sexlineatus,Aspidoscelis,Teiidae,67,31,-4.747,3.11,203.623,91.663,8,1,5.3,2.1,-92.91,35.26,Diurnal
Aspidoscelis_sonorae,17.25566657,Oviparous,Aspidoscelis_sonorae,Aspidoscelis,Teiidae,81.4,27,-4.747,3.11,248.407,79.223,7,1,4.1,3.7,-109.73,31.09,Diurnal
Aspidoscelis_tesselatus,17.0466667,Oviparous,Aspidoscelis_tesselatus,Aspidoscelis,Teiidae,76.9,41.5,-4.747,3.11,234.412,124.318,8,1,4.9,3.2,-104.16,32.45,Diurnal
Aspidoscelis_tigris,18.72900017,Oviparous,Aspidoscelis_tigris,Aspidoscelis,Teiidae,81.3,33,-4.747,3.11,248.096,97.883,8,1,4.1,1.3,-111.42,33.69,Diurnal
Aspidoscelis_uniparens,15.28166652,Oviparous,Aspidoscelis_uniparens,Aspidoscelis,Teiidae,63.1,28.5,-4.747,3.11,191.494,83.888,7,1,3.7,2.4,-108.89,32.27,Diurnal
Aspidoscelis_velox,8.511000042,Oviparous,Aspidoscelis_velox,Aspidoscelis,Teiidae,74,35,-4.747,3.11,225.393,104.103,5,3,4,4,-109.34,35.97,Diurnal
Ateuchosaurus_chinensis,19.8143332,Oviparous,Ateuchosaurus_chinensis,Ateuchosaurus,Scincidae,79.8,24.5,-5.125,3.229,252.5492,73.9855,5,2,2.3,2.3,110.84,24.65,Cathemeral
Atlantolacerta_andreanskyi,10.58533327,Oviparous,Atlantolacerta_andreanskyi,Atlantolacerta,Lacertidae,46,22.2,-4.543,2.951,131.203,60.9692,3,1,2.1,1.6,-6.55,31.72,Diurnal
Bachia_bicolor,26.95166667,Oviparous,Bachia_bicolor,Bachia,Gymnophthalmidae,61.1,25.5,-4.207,2.3,136.323,54.443,2,2,2,2,-74.12,8.46,Diurnal
Barisia_imbricata,17.01166662,Viviparous,Barisia_imbricata,Barisia,Anguidae,110,32.1,-5.765,3.48,377.035,105.943,20,5,16,6.9,-102.2,22.2,Diurnal
Basiliscus_basiliscus,25.67366648,Oviparous,Basiliscus_basiliscus,Basiliscus,Corytophanidae,160,40,-5.033,3.243,513.847,124.687,20,2,10,8.4,-75.9,8,Diurnal
Basiliscus_vittatus,24.51433357,Oviparous,Basiliscus_vittatus,Basiliscus,Corytophanidae,117.8,37.5,-5.033,3.243,376.9924,116.5795,18,2,6.9,3.9,-91.18,16.83,Diurnal
Bassiana_duperreyi,11.00000016,Oviparous,Bassiana_duperreyi,Bassiana,Scincidae,65.7,25.8,-5.125,3.229,207.0203,78.1832,11,2,5.8,4.8,144.62,-37.39,Diurnal
Bassiana_platynota,13.02566663,Oviparous,Bassiana_platynota,Bassiana,Scincidae,70.6,26,-5.125,3.229,222.8424,78.829,9,3,5.5,5,149.73,-33.36,Diurnal
Bassiana_trilineata,16.36033336,Oviparous,Bassiana_trilineata,Bassiana,Scincidae,64.3,27,-5.125,3.229,202.4997,82.058,10,2,6,4.3,122.32,-32.95,Diurnal
Bellatorias_major,16.7743334,Viviparous,Bellatorias_major,Bellatorias,Scincidae,278.2,76.5,-5.125,3.229,893.1828,241.8935,9,2,6,4.7,152.38,-29.84,Diurnal
Bipes_canaliculatus,25.62999996,Oviparous,Bipes_canaliculatus,Bipes,Bipedidae,202.5,93,-5.858,2.943,590.0995,267.841,4,1,2.8,2.8,-101.32,18.35,Diurnal
Brachylophus_vitiensis,22.74299987,Oviparous,Brachylophus_vitiensis,Brachylophus,Iguanidae,204.5,77.5,-4.298,2.972,603.476,226.032,6,1,4,4,177.59,-17.64,Diurnal
Brachymeles_apus,25.48199987,Viviparous,Brachymeles_apus,Brachymeles,Scincidae,112.6,42.5,-5.125,3.229,358.4604,132.1075,4,4,4,4,116.11,5.29,Cathemeral
Bradypodion_pumilum,17.97100012,Viviparous,Bradypodion_pumilum,Bradypodion,Chamaeleonidae,71.4,21,-3.997,2.68,187.355,52.283,21,2,14,11,17.74,-30.36,Diurnal
Brasiliscincus_agilis,22.54566669,Viviparous,Brasiliscincus_agilis,Brasiliscincus,Scincidae,70.6,33.5,-5.125,3.229,222.8424,103.0465,9,1,5.7,3.3,-41.13,-17.27,Diurnal
Brasiliscincus_heathi,26.16500044,Viviparous,Brasiliscincus_heathi,Brasiliscincus,Scincidae,67.1,29.7,-5.125,3.229,211.5409,90.7763,9,2,5.3,2.8,-42.41,-10.36,Diurnal
Bunopus_blanfordii,22.32966638,Oviparous,Bunopus_blanfordii,Bunopus,Gekkonidae,40.9,21,-4.242,2.761,108.6829,53.739,2,2,2,2,39.5,27.18,Cathemeral
Bunopus_tuberculatus,23.91400003,Oviparous,Bunopus_tuberculatus,Bunopus,Gekkonidae,39.3,20.5,-4.242,2.761,104.2653,52.3585,2,1,2,2,51.55,28.41,Cathemeral
Callisaurus_draconoides,23.25166647,Oviparous,Callisaurus_draconoides,Callisaurus,Phrynosomatidae,67.9,28.5,-3.855,2.677,177.9133,72.4395,15,1,6,2.7,-113.75,32.88,Diurnal
Calotes_bachae,26.6473333,Oviparous,Calotes_bachae,Calotes,Agamidae,86,27.5,-4.686,3.105,262.344,80.7015,10,4,4.5,4.5,106.71,13.32,Diurnal
Calotes_mystaceus,24.91266648,Oviparous,Calotes_mystaceus,Calotes,Agamidae,102.8,25,-4.686,3.105,314.508,72.939,18,6,7,7,101.2,17.85,Diurnal
Calotes_nemoricola,21.11333323,Oviparous,Calotes_nemoricola,Calotes,Agamidae,92.1,25.2,-4.686,3.105,281.2845,73.56,21,6,14.1,13.3,76.61,10.93,Diurnal
Calotes_rouxii,25.079,Oviparous,Calotes_rouxii,Calotes,Agamidae,65,23.4,-4.686,3.105,197.139,67.971,9,1,6,2.3,75.45,15.9,Diurnal
Calyptotis_ruficauda,16.4460001,Oviparous,Calyptotis_ruficauda,Calyptotis,Scincidae,48.5,21,-5.125,3.229,151.4815,62.684,6,2,3.3,3.3,152.53,-30.64,Diurnal
Carinascincus_coventryi,13.76333308,Viviparous,Carinascincus_coventryi,Carinascincus,Scincidae,42.9,17.6,-5.125,3.229,133.3991,51.7054,7,1,3,2.1,147.39,-36.01,Diurnal
Carinascincus_greeni,6.830333273,Viviparous,Carinascincus_greeni,Carinascincus,Scincidae,64,30.5,-5.125,3.229,201.531,93.3595,3,2,3,2.3,146.74,-41.87,Diurnal
Carinascincus_microlepidotus,8.477333307,Viviparous,Carinascincus_microlepidotus,Carinascincus,Scincidae,59.2,24.5,-5.125,3.229,186.0318,73.9855,6,1,2.8,2.2,146.34,-42.53,Diurnal
Carinascincus_ocellatus,6.592333357,Viviparous,Carinascincus_ocellatus,Carinascincus,Scincidae,68.7,29.4,-5.125,3.229,216.7073,89.8076,6,1,4,2.4,146.64,-41.88,Diurnal
Carlia_ailanpalai,26.10866658,Oviparous,Carlia_ailanpalai,Carlia,Scincidae,52.7,23.5,-5.125,3.229,165.0433,70.7565,2,2,2,2,146.96,-2.06,Diurnal
Carlia_amax,27.19499969,Oviparous,Carlia_amax,Carlia,Scincidae,37.2,17,-5.125,3.229,114.9938,49.768,2,2,2,2,131.63,-14.72,Diurnal
Carlia_bicarinata,26.4003334,Oviparous,Carlia_bicarinata,Carlia,Scincidae,41.1,17.5,-5.125,3.229,127.5869,51.3825,2,2,2,2,146.93,-8.95,Diurnal
Carlia_fusca,24.66066662,Oviparous,Carlia_fusca,Carlia,Scincidae,49.5,23.4,-5.125,3.229,154.7105,70.4336,2,1,2,1.7,135.72,-3.36,Diurnal
Carlia_gracilis,27.24466658,Oviparous,Carlia_gracilis,Carlia,Scincidae,36.3,18,-5.125,3.229,112.0877,52.997,3,1,1.9,1.9,131.6,-14.24,Diurnal
Carlia_jarnoldae,23.36966642,Oviparous,Carlia_jarnoldae,Carlia,Scincidae,42.7,18,-5.125,3.229,132.7533,52.997,2,2,2,2,145.07,-16.97,Diurnal
Carlia_munda,26.55666701,Oviparous,Carlia_munda,Carlia,Scincidae,39,19,-5.125,3.229,120.806,56.226,2,2,2,2,133.48,-18.7,Diurnal
Carlia_pectoralis,21.95333338,Oviparous,Carlia_pectoralis,Carlia,Scincidae,43.7,20,-5.125,3.229,135.9823,59.455,2,2,2,2,149.63,-24.01,Diurnal
Carlia_rhomboidalis,23.4083333,Oviparous,Carlia_rhomboidalis,Carlia,Scincidae,49.3,20,-5.125,3.229,154.0647,59.455,2,2,2,2,146.79,-19.15,Diurnal
Carlia_rostralis,26.08400011,Oviparous,Carlia_rostralis,Carlia,Scincidae,56.1,25.2,-5.125,3.229,176.0219,76.2458,2,2,2,2,143.17,-17.6,Diurnal
Carlia_rubrigularis,20.75800045,Oviparous,Carlia_rubrigularis,Carlia,Scincidae,52.9,22.6,-5.125,3.229,165.6891,67.8504,2,2,2,2,145.47,-18,Diurnal
Carlia_tetradactyla,15.67800005,Oviparous,Carlia_tetradactyla,Carlia,Scincidae,52.2,25,-5.125,3.229,163.4288,75.6,2,2,2,2,149.77,-31.97,Diurnal
Carlia_vivax,22.44733342,Oviparous,Carlia_vivax,Carlia,Scincidae,46.1,20,-5.125,3.229,143.7319,59.455,2,2,2,2,147.94,-22.38,Diurnal
Celestus_stenurus,21.7480003,Viviparous,Celestus_stenurus,Celestus,Anguidae,131.5,36.5,-5.765,3.48,451.855,121.255,7,5,5.5,5.5,-71.27,18.96,Diurnal
Ceratophora_aspera,24.18366671,Oviparous,Ceratophora_aspera,Ceratophora,Agamidae,34.1,14.8,-4.686,3.105,101.1945,41.268,3,1,2,1.9,80.42,6.48,Diurnal
Cercosaura_bassleri,25.59866651,Oviparous,Cercosaura_bassleri,Cercosaura,Gymnophthalmidae,58.5,26.5,-4.207,2.3,130.343,56.743,2,2,2,2,-68.6,-6.81,Diurnal
Cercosaura_eigenmanni,24.27766641,Oviparous,Cercosaura_eigenmanni,Cercosaura,Gymnophthalmidae,47,19.4,-4.207,2.3,103.893,40.413,2,2,2,2,-61.82,-12.21,Diurnal
Cercosaura_ocellata,25.45699962,Oviparous,Cercosaura_ocellata,Cercosaura,Gymnophthalmidae,52,21,-4.207,2.3,115.393,44.093,3,1,2.9,2,-55.68,-8.74,Diurnal
Cercosaura_oshaughnessyi,26.22700024,Oviparous,Cercosaura_oshaughnessyi,Cercosaura,Gymnophthalmidae,35.4,20.5,-4.207,2.3,77.213,42.943,2,1,2,2,-73.34,-3.25,Diurnal
Cercosaura_schreibersii,24.20833317,Oviparous,Cercosaura_schreibersii,Cercosaura,Gymnophthalmidae,39,15,-4.207,2.3,85.493,30.293,2,1,2,2,-57.49,-22.14,Diurnal
Chalarodon_madagascariensis,23.81099971,Oviparous,Chalarodon_madagascariensis,Chalarodon,Opluridae,61.3,27.5,-6.439,3.94,235.083,101.911,2,2,2,2,44.98,-22.31,Diurnal
Chalcides_bedriagai,14.06066676,Viviparous,Chalcides_bedriagai,Chalcides,Scincidae,75.3,31.1,-5.125,3.229,238.0187,95.2969,6,1,2.7,2.2,-4.37,39.62,Diurnal
Chalcides_guentheri,18.63066649,Viviparous,Chalcides_guentheri,Chalcides,Scincidae,130.5,48,-5.125,3.229,416.2595,149.867,8,3,5.8,3,35.34,32.45,Diurnal
Chalcides_lanzai,10.71699997,Viviparous,Chalcides_lanzai,Chalcides,Scincidae,120,40,-5.125,3.229,382.355,124.035,8,5,6.3,6.3,-5.16,33.28,Diurnal
Chalcides_ocellatus,21.17299978,Viviparous,Chalcides_ocellatus,Chalcides,Scincidae,109.4,37,-5.125,3.229,348.1276,114.348,25,1,10,3,26.91,25.09,Cathemeral
Chalcides_sepsoides,21.12566662,Viviparous,Chalcides_sepsoides,Chalcides,Scincidae,98.2,38,-5.125,3.229,311.9628,117.577,10,2,6,2.7,25.62,28.89,Cathemeral
Chalcidoseps_thwaitesi,19.71633307,Oviparous,Chalcidoseps_thwaitesi,Chalcidoseps,Scincidae,113.7,35,-5.125,3.229,362.0123,107.89,2,2,2,2,80.8,7.4,Diurnal
Chamaeleo_calyptratus,26.17899974,Oviparous,Chamaeleo_calyptratus,Chamaeleo,Chamaeleonidae,180,25,-3.997,2.68,478.403,63.003,95,11,35,35,43.36,16.35,Diurnal
Chamaeleo_chamaeleon,20.94433347,Oviparous,Chamaeleo_chamaeleon,Chamaeleo,Chamaeleonidae,114.3,27.2,-3.997,2.68,302.327,68.899,50,3,30,17.3,14.58,31.03,Diurnal
Chamaeleo_dilepis,19.16166687,Oviparous,Chamaeleo_dilepis,Chamaeleo,Chamaeleonidae,150.6,31.5,-3.997,2.68,399.611,80.423,77,2,44.2,35,27,-8.73,Diurnal
Chamaeleo_monachus,24.25866667,Oviparous,Chamaeleo_monachus,Chamaeleo,Chamaeleonidae,144,30,-3.997,2.68,381.923,76.403,52,32,42,42,53.86,12.52,Diurnal
Chamaeleo_namaquensis,18.68766673,Oviparous,Chamaeleo_namaquensis,Chamaeleo,Chamaeleonidae,120,27.8,-3.997,2.68,317.603,70.507,30,6,13.2,13.2,17.23,-24.95,Diurnal
Chamaeleo_senegalensis,26.73533344,Oviparous,Chamaeleo_senegalensis,Chamaeleo,Chamaeleonidae,121.5,25,-3.997,2.68,321.623,63.003,60,7,52.2,52.2,3.77,9.79,Diurnal
Chamaeleo_zeylanicus,27.23866669,Oviparous,Chamaeleo_zeylanicus,Chamaeleo,Chamaeleonidae,163.5,28.8,-3.997,2.68,434.183,73.187,65,10,33,26.8,78.01,19.63,Diurnal
Chatogekko_amazonicus,26.8009998,Oviparous,Chatogekko_amazonicus,Chatogekko,Sphaerodactylidae,22.2,12.3,-4.558,2.97,61.376,31.973,1,1,1,1,-60.62,-3.65,Diurnal
Chelosania_brunnea,27.88233312,Oviparous,Chelosania_brunnea,Chelosania,Agamidae,92.5,36,-4.686,3.105,282.5265,107.094,9,2,6,5,130.68,-15.44,Diurnal
Chlamydosaurus_kingii,26.69266669,Oviparous,Chlamydosaurus_kingii,Chlamydosaurus,Agamidae,209.8,49,-4.686,3.105,646.743,147.459,24,4,15.1,8.9,138.94,-17.92,Diurnal
Cnemaspis_africana,21.43000015,Oviparous,Cnemaspis_africana,Cnemaspis,Gekkonidae,49.5,19,-4.242,2.761,132.4275,48.217,2,1,2,2,37.81,-4.2,Cathemeral
Cnemaspis_assamensis,20.60633357,Oviparous,Cnemaspis_assamensis,Cnemaspis,Gekkonidae,33.2,17.2,-4.242,2.761,87.4232,43.2472,2,2,2,2,91.83,25.84,Diurnal
Cnemaspis_kandiana,26.07000001,Oviparous,Cnemaspis_kandiana,Cnemaspis,Gekkonidae,33.5,13.5,-4.242,2.761,88.2515,33.0315,2,1,2,2,80.74,7.63,Diurnal
Cnemaspis_mcguirei,24.3240002,Oviparous,Cnemaspis_mcguirei,Cnemaspis,Gekkonidae,54.7,18,-4.242,2.761,146.7847,45.456,2,2,2,2,100.85,4.87,Cathemeral
Cnemaspis_podihuna,23.73933331,Oviparous,Cnemaspis_podihuna,Cnemaspis,Gekkonidae,21.8,11,-4.242,2.761,55.9478,26.129,2,1,2,2,80.71,7.62,Diurnal
Cnemaspis_quattuorseriata,16.09666665,Oviparous,Cnemaspis_quattuorseriata,Cnemaspis,Gekkonidae,41.5,14,-4.242,2.761,110.3395,34.412,2,2,2,2,28.92,-1.52,Cathemeral
Cnemaspis_scalpensis,21.25199986,Oviparous,Cnemaspis_scalpensis,Cnemaspis,Gekkonidae,33.8,13,-4.242,2.761,89.0798,31.651,2,1,2,2,80.66,7.11,Diurnal
Cnemidophorus_cryptus,26.09933297,Oviparous,Cnemidophorus_cryptus,Cnemidophorus,Teiidae,62,31.5,-4.747,3.11,188.073,93.218,3,1,1.9,1.1,-52.16,-2.6,Diurnal
Cnemidophorus_gramivagus,27.10300001,Oviparous,Cnemidophorus_gramivagus,Cnemidophorus,Teiidae,79.7,32.5,-4.747,3.11,243.12,96.328,3,1,1.7,1.5,-69.7,4.77,Diurnal
Cnemidophorus_lemniscatus,23.70466646,Oviparous,Cnemidophorus_lemniscatus,Cnemidophorus,Teiidae,62.8,25.5,-4.747,3.11,190.561,74.558,5,1,2.6,1.1,-64.55,4.08,Diurnal
Coleodactylus_meridionalis,25.89266682,Oviparous,Coleodactylus_meridionalis,Coleodactylus,Sphaerodactylidae,25.9,12.2,-4.558,2.97,72.365,31.676,1,1,1,1,-41.84,-9.36,Diurnal
Coleodactylus_septentrionalis,23.16933346,Oviparous,Coleodactylus_septentrionalis,Coleodactylus,Sphaerodactylidae,23,13.2,-4.558,2.97,63.752,34.646,1,1,1,1,-60.63,5.37,Diurnal
Colobosaura_modesta,25.76933336,Oviparous,Colobosaura_modesta,Colobosaura,Gymnophthalmidae,49.3,22,-4.207,2.3,109.183,46.393,2,2,2,2,-49.28,-12.24,Diurnal
Concinnia_martini,17.9423333,Viviparous,Concinnia_martini,Concinnia,Scincidae,62.3,27.5,-5.125,3.229,196.0417,83.6725,6,2,3.5,3.5,151.83,-26.81,Diurnal
Concinnia_queenslandiae,22.39766645,Viviparous,Concinnia_queenslandiae,Concinnia,Scincidae,70.1,32.5,-5.125,3.229,221.2279,99.8175,6,1,3.2,3.1,145.42,-17.11,Cathemeral
Conolophus_pallidus,23.35416683,Oviparous,Conolophus_pallidus,Conolophus,Iguanidae,333.8,100,-4.298,2.972,987.7556,292.902,10,10,10,10,-90.06,-0.82,Diurnal
Conolophus_subcristatus,24.0429999,Oviparous,Conolophus_subcristatus,Conolophus,Iguanidae,382.5,100,-4.298,2.972,1132.492,292.902,23,7,13.5,8.4,-91.08,-0.55,Diurnal
Contomastix_lacertoides,20.3763334,Oviparous,Contomastix_lacertoides,Contomastix,Teiidae,62,26.5,-4.747,3.11,188.073,77.668,8,2,3.8,3.8,-59.88,-28.26,Diurnal
Contomastix_vacariensis,16.70199998,Oviparous,Contomastix_vacariensis,Contomastix,Teiidae,68.5,29.2,-4.747,3.11,208.288,86.065,6,2,4.2,4.1,-51.35,-27.54,Diurnal
Copeoglossum_arajara,24.9066666,Viviparous,Copeoglossum_arajara,Copeoglossum,Scincidae,91.3,35,-5.125,3.229,289.6827,107.89,9,2,4.8,4.8,-41.14,-6.72,Diurnal
Copeoglossum_nigropunctatum,25.93733358,Viviparous,Copeoglossum_nigropunctatum,Copeoglossum,Scincidae,93.6,35.7,-5.125,3.229,297.1094,110.1503,9,2,6.3,3.3,-58.12,-6.8,Diurnal
Cophosaurus_texanus,17.33533323,Oviparous,Cophosaurus_texanus,Cophosaurus,Phrynosomatidae,55.9,23.5,-3.855,2.677,145.7893,59.0545,12,1,6.8,2.3,-103.33,29.79,Diurnal
Cophoscincopus_durus,25.55733331,Oviparous,Cophoscincopus_durus,Cophoscincopus,Scincidae,48.5,21.5,-5.125,3.229,151.4815,64.2985,3,1,2,2,-9.77,6.84,Diurnal
Cophoscincopus_greeri,22.82733345,Oviparous,Cophoscincopus_greeri,Cophoscincopus,Scincidae,55.5,27,-5.125,3.229,174.0845,82.058,4,2,2.7,2.7,-9.11,9,Diurnal
Cophoscincopus_simulans,25.79333337,Oviparous,Cophoscincopus_simulans,Cophoscincopus,Scincidae,52.5,24,-5.125,3.229,164.3975,72.371,3,2,2.2,2.2,-6.37,6.85,Diurnal
Cordylus_cordylus,18.66833313,Viviparous,Cordylus_cordylus,Cordylus,Cordylidae,73.4,35,-4.207,2.471,177.1644,82.278,3,1,2,2,24.48,-32.46,Diurnal
Cordylus_tropidosternum,23.73700015,Viviparous,Cordylus_tropidosternum,Cordylus,Cordylidae,71.4,35,-4.207,2.471,172.2224,82.278,5,1,4,1,34.5,-11.04,Diurnal
Corytophanes_hernandesii,26.8623333,Oviparous,Corytophanes_hernandesii,Corytophanes,Corytophanidae,104.5,37.5,-5.033,3.243,333.8605,116.5795,7,3,4,3,-91.37,17.73,Diurnal
Corytophanes_percarinatus,20.94733349,Viviparous,Corytophanes_percarinatus,Corytophanes,Corytophanidae,103,30,-5.033,3.243,328.996,92.257,10,3,7.1,7.1,-90.7,14.81,Diurnal
Crocodilurus_amazonicus,26.42333349,Oviparous,Crocodilurus_amazonicus,Crocodilurus,Teiidae,211.7,73.5,-4.747,3.11,653.64,223.838,6,3,5.7,5.5,-62.47,-3.1,Diurnal
Crotaphytus_bicinctores,8.832666683,Oviparous,Crotaphytus_bicinctores,Crotaphytus,Crotaphytidae,88.5,36,-1.528,1.569,137.3285,54.956,12,1,5.4,3.5,-115.88,37.94,Diurnal
Crotaphytus_collaris,16.48433328,Oviparous,Crotaphytus_collaris,Crotaphytus,Crotaphytidae,90.6,38,-1.528,1.569,140.6234,58.094,24,1,8.3,3.7,-103.4,32.64,Diurnal
Crotaphytus_reticulatus,22.59300009,Oviparous,Crotaphytus_reticulatus,Crotaphytus,Crotaphytidae,101.5,35.5,-1.528,1.569,157.7255,54.1715,11,4,9.8,9.8,-99.37,27.46,Diurnal
Cryptoblepharus_buchananii,20.52066684,Oviparous,Cryptoblepharus_buchananii,Cryptoblepharus,Scincidae,42.2,22,-5.125,3.229,131.1388,65.913,3,2,2,2,119.55,-27.9,Diurnal
Cryptoblepharus_plagiocephalus,21.43433356,Oviparous,Cryptoblepharus_plagiocephalus,Cryptoblepharus,Scincidae,38.9,16,-5.125,3.229,120.4831,46.539,2,1,2,1.9,119.19,-27.21,Diurnal
Cryptoblepharus_virgatus,26.27833335,Oviparous,Cryptoblepharus_virgatus,Cryptoblepharus,Scincidae,38.4,18,-5.125,3.229,118.8686,52.997,2,1,1.9,1.9,143.82,-14.95,Diurnal
Ctenophorus_caudicinctus,25.13966672,Oviparous,Ctenophorus_caudicinctus,Ctenophorus,Agamidae,61.5,22.5,-4.686,3.105,186.2715,65.1765,8,2,5.4,5.4,123.75,-23.4,Diurnal
Ctenophorus_clayi,23.92433341,Oviparous,Ctenophorus_clayi,Ctenophorus,Agamidae,50,25,-4.686,3.105,150.564,72.939,4,1,3,1.9,125.04,-24.68,Diurnal
Ctenophorus_cristatus,18.62733324,Oviparous,Ctenophorus_cristatus,Ctenophorus,Agamidae,94.3,33.5,-4.686,3.105,288.1155,99.3315,9,2,6.1,3,127.13,-30.68,Diurnal
Ctenophorus_decresii,16.97500006,Oviparous,Ctenophorus_decresii,Ctenophorus,Agamidae,71.5,30.5,-4.686,3.105,217.3215,90.0165,10,2,4.8,4.7,139.55,-32.74,Diurnal
Ctenophorus_fionni,18.31700015,Oviparous,Ctenophorus_fionni,Ctenophorus,Agamidae,65.2,31.4,-4.686,3.105,197.76,92.811,5,4,4.2,3,136.11,-32.18,Diurnal
Ctenophorus_fordi,19.16966677,Oviparous,Ctenophorus_fordi,Ctenophorus,Agamidae,51.8,24.5,-4.686,3.105,156.153,71.3865,5,1,2.4,2.2,134.18,-30.76,Diurnal
Ctenophorus_isolepis,23.8423334,Oviparous,Ctenophorus_isolepis,Ctenophorus,Agamidae,58.1,25.5,-4.686,3.105,175.7145,74.4915,6,1,4.6,2.8,128.58,-23.91,Diurnal
Ctenophorus_maculatus,18.62666647,Oviparous,Ctenophorus_maculatus,Ctenophorus,Agamidae,54.4,28,-4.686,3.105,164.226,82.254,5,2,4,2,119.28,-30.51,Diurnal
Ctenophorus_maculosus,20.80633354,Oviparous,Ctenophorus_maculosus,Ctenophorus,Agamidae,59.3,27.5,-4.686,3.105,179.4405,80.7015,5,1,3.4,3,138.36,-29.67,Diurnal
Ctenophorus_nuchalis,22.55566661,Oviparous,Ctenophorus_nuchalis,Ctenophorus,Agamidae,82.8,34,-4.686,3.105,252.408,100.884,6,2,4.1,3.2,131.29,-24.49,Diurnal
Ctenophorus_ornatus,17.4356668,Oviparous,Ctenophorus_ornatus,Ctenophorus,Agamidae,79.8,35,-4.686,3.105,243.093,103.989,6,2,3.8,2.5,118.47,-31.63,Diurnal
Ctenophorus_parviceps,23.87800058,Oviparous,Ctenophorus_parviceps,Ctenophorus,Agamidae,44.6,23,-4.686,3.105,133.797,66.729,3,2,2.2,2,114.06,-24.76,Diurnal
Ctenophorus_reticulatus,21.10633341,Oviparous,Ctenophorus_reticulatus,Ctenophorus,Agamidae,71.7,23,-4.686,3.105,217.9425,66.729,8,2,4.6,4,123.79,-27.35,Diurnal
Ctenophorus_scutulatus,20.83733336,Oviparous,Ctenophorus_scutulatus,Ctenophorus,Agamidae,86.4,29,-4.686,3.105,263.586,85.359,10,3,6.8,3.5,119.51,-28.22,Diurnal
Ctenosaura_melanosterna,25.94533348,Oviparous,Ctenosaura_melanosterna,Ctenosaura,Iguanidae,201.6,50,-4.298,2.972,594.8572,144.302,50,7,17,17,-86.78,15.42,Diurnal
Ctenosaura_pectinata,14.81266658,Oviparous,Ctenosaura_pectinata,Ctenosaura,Iguanidae,279.6,56.6,-4.298,2.972,826.6732,163.9172,50,11,30,25,-101.58,19.73,Diurnal
Ctenosaura_similis,23.82133341,Oviparous,Ctenosaura_similis,Ctenosaura,Iguanidae,305,53.5,-4.298,2.972,902.162,154.704,88,12,43.4,22,-87.71,14.76,Diurnal
Ctenotus_ariadnae,23.03700018,Oviparous,Ctenotus_ariadnae,Ctenotus,Scincidae,64.3,29,-5.125,3.229,202.4997,88.516,5,3,3.5,3.3,129.46,-24.64,Diurnal
Ctenotus_atlas,19.00499996,Oviparous,Ctenotus_atlas,Ctenotus,Scincidae,70,31,-5.125,3.229,220.905,94.974,2,1,1.5,1.5,129.52,-30.09,Diurnal
Ctenotus_brooksi,19.92099984,Oviparous,Ctenotus_brooksi,Ctenotus,Scincidae,46.3,21,-5.125,3.229,144.3777,62.684,3,1,2.5,1.8,132.3,-27.12,Diurnal
Ctenotus_calurus,24.23366682,Oviparous,Ctenotus_calurus,Ctenotus,Scincidae,47,25,-5.125,3.229,146.638,75.6,4,1,2.7,1.8,125.96,-24.32,Diurnal
Ctenotus_dux,21.22366667,Oviparous,Ctenotus_dux,Ctenotus,Scincidae,66.5,29,-5.125,3.229,209.6035,88.516,3,2,2.8,2.6,129.15,-25.25,Diurnal
Ctenotus_grandis,24.89499966,Oviparous,Ctenotus_grandis,Ctenotus,Scincidae,99.5,33,-5.125,3.229,316.1605,101.432,4,4,4,4,124.4,-23.46,Diurnal
Ctenotus_impar,16.75299994,Oviparous,Ctenotus_impar,Ctenotus,Scincidae,52.2,30,-5.125,3.229,163.4288,91.745,2,2,2,2,119.82,-31.81,Diurnal
Ctenotus_labillardieri,15.79333337,Oviparous,Ctenotus_labillardieri,Ctenotus,Scincidae,67.7,28.8,-5.125,3.229,213.4783,87.8702,5,2,4.1,3,118.04,-33.53,Diurnal
Ctenotus_lancelini,18.70000013,Oviparous,Ctenotus_lancelini,Ctenotus,Scincidae,79,30.8,-5.125,3.229,249.966,94.3282,5,2,3.3,3.3,115.33,-31.01,Diurnal
Ctenotus_leonhardii,21.56899961,Oviparous,Ctenotus_leonhardii,Ctenotus,Scincidae,71.5,29,-5.125,3.229,225.7485,88.516,7,1,5.6,2,132.68,-25.32,Diurnal
Ctenotus_mimetes,21.14899985,Oviparous,Ctenotus_mimetes,Ctenotus,Scincidae,80,33,-5.125,3.229,253.195,101.432,6,6,6,6,117.78,-28.1,Diurnal
