,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,minimum.mean.Tb,maximum.mean.Tb
Anolis_agassizi,Oviparous,Anolis_agassizi,Anolis,Dactyloidae,77.1,26.4,-4.574,2.942,222.254,73.095,1,1,1,1,-81.6,3.98,Diurnal,30.6,30.6
Anolis_alutaceus,Oviparous,Anolis_alutaceus,Anolis,Dactyloidae,33.6,15,-4.574,2.942,94.277,39.556,1,1,1,1,-79.25,21.65,Diurnal,28.3,29.1
Anolis_angusticeps,Oviparous,Anolis_angusticeps,Anolis,Dactyloidae,38,15.5,-4.574,2.942,107.222,41.027,1,1,1,1,-78.91,21.83,Diurnal,29.2,32.4
Anolis_auratus,Oviparous,Anolis_auratus,Anolis,Dactyloidae,47.7,19.7,-4.574,2.942,135.759,53.383,2,1,1,1,-65.36,3.89,Diurnal,30.7,33.9
Anolis_bahorucoensis,Oviparous,Anolis_bahorucoensis,Anolis,Dactyloidae,37.3,18.5,-4.574,2.942,105.163,49.853,2,1,1.1,1,-71.59,18.16,Diurnal,24.4,26.4
Anolis_barbatus,Oviparous,Anolis_barbatus,Anolis,Dactyloidae,122.7,47.5,-4.574,2.942,356.409,135.171,1,1,1,1,-82,22.44,Diurnal,27.1,32.5
Anolis_barbouri,Oviparous,Anolis_barbouri,Anolis,Dactyloidae,45.5,17,-4.574,2.942,129.287,45.440,2,1,1,1,-71.61,18.44,Diurnal,24.1,26.3
Anolis_barkeri,Oviparous,Anolis_barkeri,Anolis,Dactyloidae,68.5,34,-4.574,2.942,196.953,95.454,2,1,2,1,-94.42,17.53,Diurnal,23.9,24.4
Anolis_biporcatus,Oviparous,Anolis_biporcatus,Anolis,Dactyloidae,88.4,28,-4.574,2.942,255.499,77.802,2,1,1,1,-83.23,11.62,Diurnal,30.1,30.1
Anolis_brasiliensis,Oviparous,Anolis_brasiliensis,Anolis,Dactyloidae,63.1,26,-4.574,2.942,181.066,71.918,1,1,1,1,-49.46,-11.33,Diurnal,30.6,31.6
Anolis_capito,Oviparous,Anolis_capito,Anolis,Dactyloidae,85,27,-4.574,2.942,245.496,74.860,1,1,1,1,-85.96,13.51,Diurnal,28.8,28.9
